다음 , suivant
작년 , l'année dernière
올해 , cette année
내년 , l'année prochaine
어떻다 , être comment
파랗다 , être bleu
하얗다 , être blanc
빨갛다 , être rouge
노랗다 , être jaune
이렇다 , être comme-ca
조그마하다 , être petit
옳다 , avoir raison
싫다 , ne pas aimer
늘 , toujours
항상 , toujours
언제나 , toujours
자주 , souvent . frequement
가끔 , de temps en temps
때때로 , parfois
매ㅡ , chaque
ㅡ마다 , chaque
특히 , particulierement . specialement . surtout
또 , encore . de plus
춤 , danse
추다 , danser
게임 , jeux
왜 , pourquoi
함께 , avec
식사하다 , prendre le repas
예쁘다 , être jolie
영리하다 , être intelligent
노래 부르다, chanter
마시다 , boire
쉬다 , se reposer
사과 , pomme
배 , poire
결혼하다 , se marier
백화점 , grand magasins
함께 , ensemble
회사 , société . compagnie . firme
가끔 , de temps en temps
일어나다 , se lever
그런데 , alors . cependant . en fait
그리고 , puis
그러다 , mais (opposition forte)
그렇지만 , mais
그래도 , tout de même . malgre cela
구러니까 , donc
그래서 , c'est pourquoi
그러면 (그럼), dans ce cas
초대하다 , inviter
선물 , cadeau
묻다 , interroger
닫다 , fermer
밥다 , recevoir
믿다 , croire
딸기 , fraise
체리 , cerise
일찍 , tôt
나오다 , sortir dehors . sortir de . quitter
다행기 , heuresement
도착하다 , arriver
늦다 , être en retard
공월 , parc
오래 , longtemps
산책하다 , se promener
풀밭 , herbe
참 , beaucoup
쪽 , coté
(으)로 , vers
방 , pièce . chambre
이리 , par ici
고르다 , choisir . selectionner
잠시 , un instant . un moment 
만들다 , produire . fabriquer . faire
기다리다 , attendre
서류 , documents
정리하다 , ranger
놀다 , jouer
소중하다 , être important
간직하다 , garder . conserver
이렇다 , être comme cela . être comme suit
죽다 , mourir
묻다 , demander
데리고 가다 , accompagner qqn
데리고 오다 , ramener qqn
공항 , aéroport
말 , parole
나이 , âge
계산서 , l'addition
이미 , déjà
신나게 , joyeusement
정확하게 , exactement
친절하게 , gentiment
불친절하게 , pas gentiment . pas aimable
꾸미다 , décorer
가게 , boutique . magasin . échoppe
점원 , vendeur
인사하다 , saluer
점심 , petit-dej
아직 , encore . pas encore
아무 , aucun
계획 , projet . plan
등산 , randonnée
바닷가 , bord de mer
나무 , trop
멀다 , être loin
어떤 , quel
빼고 , sauf
빼다 , soustraire . extraire . détacher
사실 , en fait . en réalité
그냥 , simplement . comme cela
매표소 , guichet
사다 , acheter
밖 , dehors
눈 , neige
무겁다 , être lourd . être pesant
벌써 , déjà . auparavant
절대 , absolument . jamais
잊다 , oublier
달리다 , courir
가장|제일 , superlatif
아마 , peut-être
시작하다 , commencer
찾다 , chercher
들어오다 , entrer . pénétrer
출장 , voyage d'affaire . déplacement
문제 , problème . question
생기다 , avoir l'air | apparaître . se former . naître
혼자 , seul
도와주다 (돕다+주다) , aider
준비하다 , se préparer
설탕 , sucre
필요하다 , avoir esoin de
회의 , réunion . assemblée
회의장 , sale de réunion . sale de conférence
취재 , enquêtes . reportage
곧 , à l'instant . immédiatement
실례지만요 , excusez-moi
왜냐하면 , parce que . car . puisque
온종일 , toute la journée
합격 , réussir
